Densitat de població. Comarques i Aran, àmbits i províncies;;;;
2023;;;;
Font:;;;;
Idescat, a partir del Cens de població i habitatges de l'INE.;;;;
Institut Cartogràfic de Catalunya.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/indicadors/?id=aec&n=15227&tema=XIFPO;;;;
Comarca;Població;Superficie;Densitat;Provincia
Alt Camp;46076;538;85,6;Tarragona
Alt Empordà;146766;1358;108,1;Girona
Alt Penedès;112460;593;189,8;Barcelona
Alt Urgell;20762;1447;14,3;Lleida
Alta Ribagorça;4019;427;9,4;Lleida
Anoia;126752;866;146,3;Barcelona
Aran;10496;634;16,6;Lleida
Bages;183265;1092;167,8;Barcelona
Baix Camp;201647;697;289,2;Tarragona
Baix Ebre;81334;1003;81,1;Tarragona
Baix Empordà;141329;702;201,4;Girona
Baix Llobregat;840572;486;1729,6;Barcelona
Baix Penedès;115701;296;390,3;Tarragona
Barcelonès;2313975;146;15876,3;Barcelona
Berguedà;40618;1185;34,3;Barcelona
Conca de Barberà;20480;650;31,5;Tarragona
Garraf;159124;185;859,6;Barcelona
Garrigues;18935;798;23,7;Lleida
Garrotxa;61363;735;83,5;Girona
Gironès;201615;576;350,3;Girona
Maresme;467398;399;1172,8;Barcelona
Moianès;14668;338;43,4;Barcelona
Montsià;70244;735;95,5;Tarragona
Noguera;39567;1784;22,2;Lleida
Osona;167506;1245;134,5;Barcelona
Pallars Jussà;13409;1343;10;Lleida
Pallars Sobirà;7288;1378;5,3;Lleida
Pla d'Urgell;37737;305;123,7;Lleida
Pla de l'Estany;33194;263;126,3;Girona
Priorat;9360;499;18,8;Tarragona
Ribera d'Ebre;22040;827;26,6;Tarragona
Ripollès;25780;957;27;Girona
Segarra;23938;723;33,1;Lleida
Segrià;215476;1397;154,3;Lleida
Selva;182614;995;183,5;Girona
Solsonès;13725;1001;13,7;Lleida
Tarragonès;270237;319;846,2;Tarragona
Terra Alta;11473;743;15,4;Tarragona
Urgell;37960;580;65,5;Lleida
Vallès Occidental;949026;583;1627,5;Barcelona
Vallès Oriental;422149;735;574,4;Barcelona
